ITEM ,CATEGORY ,SUB-CATEGORY ,CPU CODE 
PRINT MNTR MGMT SVC ,12,31,MNGPRN                                       
RMM MANAGED SERVICES,12,31,MNGRMM                                       
SECURITY MANAGED SVC,12,31,MNGSEC                                       
STORAGE MANAGED SVC ,12,31,MNGSTG                                       
SOFTWARE AS SVCS    ,12,31,MNGSWS                                       
VENDOR PROF SERVICES,12,41,*                                            
CUSTOM CONSULT SVCS ,12,41,CONSUL                                       
DEPLOY/SUPPORT SVCS ,12,41,DEPLOY                                       
HARDWARE CONFIG SVCS,12,41,HW-CFG                                       
INTEGRATION SVCS    ,12,41,INTEGR                                       
INVENTORY SVCS      ,12,41,INVSVC                                       
PROJECT MGMT SVCS   ,12,41,PR-MGT                                       
RECOVERY SERVICES   ,12,41,RECOVR                                       
REMOTE MONITOR SVCS ,12,41,REMMON                                       
WARRANTY RENEWAL    ,12,41,RENEW                                        
SITE SURVEY SVCS    ,12,41,SITE-S                                       
SW CONFIGURATION SVC,12,41,SW-CFG                                       
MOBILE WRLS CONFIG  ,12,41,WL-CFG                                       
WIRELESS NETWORK SVC,12,41,WLNSVC                                       
INGRAM MICRO SERVICE,12,51,*                                            
IM CHOICE ADV SRVS  ,12,51,IM-CA                                        
IM INTEGRATION SVCS ,12,51,IM-CFG                                       
IM LOGISTICS SVCS   ,12,51,IM-FEE                                       
IM NOTES CONTENT SVC,12,51,IMNOTE                                       
IM SVCS NETWORK     ,12,51,IMSN                                         
IM LOYALTY PROGRAM  ,12,51,LOYAL                                        
PSTS ONLY           ,12,51,PSTS                                         
COMMENT SKU         ,12,51,XXXXXX                                       
IM LOGISTICS SPECIAL,12,52,*                                            
CARRIER SERVICES    ,12,61,*                                            
ASP SERVICES        ,12,61,ASPSVC                                       
WIRELESS COMM SVCS  ,12,61,WL-SVC                                       
PRESENTATION DEVICES,13,* ,*                                            
PROJECTORS          ,13,2,*                                            
DLP PROJECTOR       ,13,2,DLP-PR                                       
LCD PROJECTOR       ,13,2,LCD-PR                                       
LCOS PROJECTORS     ,13,2,LCOS                                         
PROJECTOR SCREENS   ,13,16,*                                            
PORTABLE SCREEN     ,13,16,P-SCR                                        
PULL DOWN SCREEN    ,13,16,PD-SCR                                       
VIDEO GAMING        ,14,* ,*                                            
VIDEO GAME SYSTEMS  ,14,1,*                                            
MS VIDEO GAME SYSTEM,14,1,MS-G                                         
VIDEO GAMES         ,14,3,*                                            
SOFTWARE            ,15,* ,*                                            
COMMUNICATIONS SW   ,15,11,*                                            
COMMUNICATION SW STE,15,11,COM-SW                                       
EMAIL SOFTWARE      ,15,11,EM-SW                                        
FAXING SW           ,15,11,FAX-SW                                       
MESSAGING SVR SW    ,15,11,MES-SW                                       
MOBILE/SYNC SW      ,15,11,MOB-SW                                       
HOST ACCESS SOFTWARE,15,12,*                                            
REMOTE ACCESS SW    ,15,12,RAS-SW                                       
THIN CLIENT SW      ,15,12,THN-SW                                       
TERMINAL EMULATION  ,15,12,TRM-SW                                       
DIGITAL IMAGING SW  ,15,25,*                                            
ANIMATION SW        ,15,25,ANM-SW                                       
CAD/CAM SW          ,15,25,CAD-SW                                       
COLOR MATCHING SW   ,15,25,CM-SW                                        
CREATIVE PRINTING SW,15,25,CP-SW                                        
DIGITAL IMG ESD NDP ,15,25,DI-NDP                                       
DRAWING/PAINTING SW ,15,25,DRW-SW                                       
DIGITAL SIGNAGE SW  ,15,25,DS-SW                                        
PHOTO EDITING SW    ,15,25,EDT-SW                                       
FONT SW             ,15,25,FNT-SW                                       
IMAGING SUITE SW    ,15,25,IMG-SW                                       
MULTIMEDIA PLAYER SW,15,25,MMP-SW                                       
OCR & SCANNING SW   ,15,25,OCR-SW                                       
VIDEO/AUDIO EDITING ,15,25,VA-SW                                        
FINANCE SOFTWARE    ,15,33,*                                            
ACCOUNTING SW       ,15,33,ACC-SW                                       
ERP SOFTWARE        ,15,33,ERP-SW                                       
PERSONAL FINANCE SW ,15,33,FIN-SW                                       
FINANCIAL SUITE SW  ,15,33,FS-SW                                        
PAYROLL SW          ,15,33,PAY-SW                                       
TAX SW              ,15,33,TAX-SW                                       
STORAGE SOFTWARE    ,15,35,*                                            
BACK-UP SOFTWARE    ,15,35,BU-SW                                        
DISK COPY SW        ,15,35,COP-SW                                       
FILE RECOVERY SW    ,15,35,REC-SW                                       
STORAGE MGMT SW     ,15,35,STG-SW                                       
OFFICE PRODUCTIVITY ,15,39,*                                            
CALENDAR/CONTACT MGM,15,39,CAL-SW                                       
DESKTOP PUB SW      ,15,39,DP-SW                                        
INTEGRATED OFFICE SW,15,39,INT-SW                                       
LABELING SW         ,15,39,LAB-SW                                       
PRESENTATION SW     ,15,39,PR-SW                                        
SPREADSHEET SW      ,15,39,SS-SW                                        
VOICE RECOGNITION SW,15,39,VOC-SW                                       
WORDPROCESSOR SW    ,15,39,WP-SW                                        
OPERATING SYSTEM SW ,15,41,*                                            
DOS OS SOFTWARE     ,15,41,DOS-OS                                       
IBM OPERATING SYSTEM,15,41,IBM-OS                                       
LINUX OS SW         ,15,41,LIN-OS                                       
MAC OS SOFTWARE     ,15,41,MAC-OS                                       
NETWARE OS          ,15,41,NET-OS                                       
OS SW ESD NDP       ,15,41,OS-NDP                                       
UNIX OS SOFTWARE    ,15,41,UNX-OS                                       
WIN OS SOFTWARE     ,15,41,WIN-OS                                       
DEVELOPER SOFTWARE  ,15,43,*                                            
APPLICATION DEV SW  ,15,43,AD-SW                                        
DEVELOPER SUITE     ,15,43,DEV-SW                                       
CHARTING/DIAGRAM SW ,15,43,FC-SW                                        
OBJECT LIBRARY      ,15,43,OL-SW                                        
PROGRAMMING LANG SW ,15,43,PRG-SW                                       
VERSION MGMT SW     ,15,43,VER-SW                                       
VIRTUAL REALITY SW  ,15,43,VR-SW                                        
INTERNET/WEB DEV SW ,15,43,WD-SW                                        
REFERENCE SOFTWARE  ,15,49,*                                            
CAREER/RESUME DEV SW,15,49,CAR-SW                                       
PHONE DIRECTORY SW  ,15,49,DIR-SW                                       
ENCYCLOPEDIA SW     ,15,49,ENC-SW                                       
INTERNET REF SW     ,15,49,IR-SW                                        
LEGAL SOFTWARE      ,15,49,LGL-SW                                       
LANGUAGE TRANSLATION,15,49,LNG-SW                                       
MAP/ATLAS SW        ,15,49,MAP-SW                                       
MEDICAL SOFTWARE    ,15,49,MED-SW                                       
BUNDLES/REFERENCE SW,15,49,REF-SW                                       
STATISTICS SW       ,15,49,ST-SW                                        
TECH REFERENCE SW   ,15,49,TEC-SW                                       
TEST PREPARATION SW ,15,49,TST-SW                                       
EDUCATION SOFTWARE  ,15,51,*                                            
CREATIVITY SW       ,15,51,CRE-SW                                       
COMPUTER SCIENCE SW ,15,51,CS-SW                                        
BUNDLED EDUCATION SW,15,51,ED-SW                                        
FOREIGN LANGUAGE SW ,15,51,FL-SW                                        
GEOGRAPHY SW        ,15,51,GEO-SW                                       
LANGUAGE ARTS SW    ,15,51,LA-SW                                        
LITERATURE SW       ,15,51,LIT-SW                                       
MULTI-SUBJECT SW    ,15,51,MS-SW                                        
MATH SOFTWARE       ,15,51,MTH-SW                                       
HISTORY/NEWS SW     ,15,51,NEW-SW                                       
READING SW          ,15,51,RDG-SW                                       
SCIENCE SOFTWARE    ,15,51,SC-SW                                        
STUDY SKILLS SW     ,15,51,SSK-SW                                       
TEACHER RESOURCE SW ,15,51,TCH-SW                                       
TYPING SOFTWARE     ,15,51,TYP-SW                                       
WRITING SW          ,15,51,WRI-SW                                       
GAME SOFTWARE       ,15,53,*                                            
ACTION/ADVENTURE SW ,15,53,ACT-SW                                       
ARCADE GAMES        ,15,53,ARC-SW                                       
FIGHTING GAME SW    ,15,53,FGT-SW                                       
GAME SOFTWARE       ,15,53,OTH-SW                                       
1ST PERSON SHOOT SW ,15,53,SHT-SW                                       
SIMULATION GAME SW  ,15,53,SIM-SW                                       
STRATEGY GAME SW    ,15,53,STR-SW                                       
SECURITY SOFTWARE   ,15,69,*                                            
AUTHENTICATION SW   ,15,69,AAA-SW                                       
ACCESS CONTROL SW   ,15,69,ACS-SW                                       
ANTI SPAM SW        ,15,69,AS-SW                                        
ANTI-THEFT SOFTWARE ,15,69,AT-SW                                        
BANDWIDTH MGMT SW   ,15,69,BWM-SW                                       
ENCRYPTION SW       ,15,69,EN-SW                                        
CONTENT FILTER/MGMT ,15,69,FLT-SW                                       
FIREWALL/VPN SW     ,15,69,FW-SW                                        
INTRUSION DETECT SW ,15,69,IDS-SW                                       
SECURITY SUITE SW   ,15,69,MFS-SW                                       
PHYS ACCESS CTRL SW ,15,69,PAC-SW                                       
